Index,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
11.0,"Phnom Penh City Tour, Silver Pagoda, Genocide Museum, Killing Fields",Bus Tours,32.0,5.0,5.0,65.67,"Hotel pickup and drop-off, Small Group Tour with max. 10 pax, Sharing tuk tuk (01 and 02 pax) or an air conditioned vehicle (3 or more) during tour, Experience English Speaking Guide, Cold bottled water during tours","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
12.0,The Mekong Island Biking Tour and Lunch with farmers,City Tours,92.0,5.0,6.0,49.0,"Hotel pickup and drop-off, English speaking cycle guide, Cannondale Mountain Bike & helmet, Cambodian lunch or dinner, Round-trip shared transfer, Ferry crossing fee, Entry/Admission - Mekong Island - Koh Dach","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
13.0,Private One Day Trip in Phnom Penh Capital City,Bus Tours,5.0,5.0,7.0,145.0,"English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water, Hotel pick up & drop off","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
14.0,"Morning Market and Street Art Tour, Including Breakfast and all Transport",Private and Luxury,32.0,5.0,4.0,45.0,"2 delicious breakfasts are included, come hungry!, We will try some local snacks in and around the market, We can try some local Iced Tea and Coffee!, Hotel pick up and drop off, Experienced English Speaking Guide","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
15.0,Bike the Angkor Temples Active Day Tour,Full-day Tours,337.0,5.0,7.0,55.0,"Professional guide, Use of bicycle and safety equipment, Lunch, Bottled water, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
16.0,"Phnom Penh Tour: Royal Palace, Silver Pagoda, Killing Field, Tuol Sleng, Museum",Ports of Call Tours,7.0,4.5,7.0,36.0,"Tuk Tuk, English speaking tuk tuk driver, Pick up & drop off, Cold water","Asia, Cambodia, Kampot Province, Changhaon, Things to Do in Changhaon, Changhaon Tours, Tours and Tickets"
17.0,Sunset Cruise in Phnom Penh - One and a Half Hours,Sunset Cruises,10.0,4.5,2.0,12.0,"Hotel pick up, Unlimited beer and soft drinks, Fresh fruit platter, English speak guide, Entry/Admission - Phnom Penh","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
18.0,Full-Day Banteay Srei & 4 Temples Join-in Tour,Full-day Tours,388.0,5.0,8.0,20.0,"Cold towels & Bottled water, Professional guide, Hotel pickup (7:40am to 8:10am) & Drop off (4pm), Transport by luxury air-conditioned minivan","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
19.0,Private half day tours in Kampot with local tuktuk,Half-day Tours,5.0,5.0,6.0,33.0,"Private transportation, Transportation: tuktuk, Driver as English tour guide, Free coffee for the solo traveller, Extra charge for outside-town pick-up","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
20.0,Kulen Mountain park and waterfall for small groups,Full-day Tours,163.0,5.0,7.0,45.0,"Air-conditioned vehicle, All Fees and Taxes, Chilled bottled water, English-speaking tour guide, Entry/Admission - Preah Ang Thom pagoda, Entry/Admission - Phnom Kulen Waterfall","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
21.0,Cycle the Floating Village & Sunset Cruise - Inclusive Local Snacks & Lunch,Full-day Tours,29.0,5.0,7.0,75.0,"Hotel pick up & drop Off, Quality bike and helmet, Support transport, English speaking cycling guide, Soft drinks or Beer, Snacks, Water supplies, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
22.0,"Sunset and Evening Dinner Cruises; 5&7pm, with free Hotel Pick Up",Night Tours,112.0,4.5,2.0,15.0,"Live Traditional Khmer music, Delicious, made-to-order BBQ dinner (if dinner option selected)., Hotel Pick Up (from central Phnom Penh tourist areas), Bar snacks available., Free Welcome Cocktail","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
23.0,Angkor Wat Small Group Sunrise Tour With Breakfast included,Bus Tours,95.0,5.0,7.0,23.0,"Vaccinated English speaking tour guide with license, Vaccinated Experienced driver, Transport with air-conditioned ( Car or Minivan), Free cool bottle of water and towels, Enjoy of taste authentic Cambodian food (No vegetarian option), Visit local market in the village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
24.0,Siem Reap Evening Foodie Vespa Tour,Private and Luxury,73.0,5.0,5.0,55.0,"Water & soft drinks, Food tasting & Cold beverage., Private transportation, Scooter & Experience driver included., helmet & first aid kit., All Fees and Taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
25.0,Ground Transfer/SUV/ Phnom Penh to Siem Reap,Full-day Tours,11.0,5.0,5.0,110.0,"Private transportation, Air-conditioned vehicle, Driver and transport, Bottled water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
26.0,Kulen Mountain from Siem Reap Jeep Adventure,National Parks,25.0,5.0,7.0,129.0,"Hotel pick up & drop off, Travel with US army Jeep & driver, English speaking tour guide, Lunch, Snack, Water supplies during the tour, Guaranteed to skip the lines","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
27.0, Angkor Wat Sunrise small - groups and nearby temples,Adventure Tours,915.0,5.0,9.0,13.85,"Transport by air-conditioned minivan, Hotel pickup and drop-off (selected hotels only), Local guide, Driver/guide, All activities, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
28.0,"2hours Private Sunset Cruise with unlimited beer, soft drinks and Tour guide",Private and Luxury,1.0,5.0,2.0,66.67,"Hotel pick up and drop off, A bottle of wine, Unlimited beer and soft drinks, Fresh fruit platter, Private English speaking guide, Private boat for 2 hours","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
29.0,Angkor Wat: full-day 'Small Tour' of nearby sites with sunset,Full-day Tours,289.0,5.0,9.0,13.95,"Driver/guide, Bottled water, Pick-up and drop-off, Air-conditioned transport","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
30.0,ATV Grand Sunset Tour,Private Sightseeing Tours,37.0,5.0,2.0,71.8,"Bottle of water and fresh towel after the tour, Driver/Instructor, Hotel pickup and drop-off ( in the city of Siem Reap only), Helmet, Face mask and Rain coat ( in case of rain), Private tour, Bottled water, Entry/Admission - Quad Adventure Cambodia Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
32.0,"Battambang Full Day Tour from Siem Reap - Bamboo Train, Killing Cave & Sunset",Full-day Tours,21.0,4.5,7.0,132.31,"Lunch, Snacks, Bottled water, Entry Fees, Air-conditioned vehicle, Private transportation, Entry/Admission - Battambang, Entry/Admission - Wat Banan Temple, Entry/Admission - Battambang, Entry/Admission - Phnom Sampeau","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
33.0,Highlights & Hidden Gems of Phnom Penh,Adventure Tours,8.0,5.0,4.0,23.0,"English Speaking Tour Guide, Testing and Sampling","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
34.0,Angkor Wat Private Day Tour from Siem Reap,Bus Tours,305.0,5.0,7.0,29.0,"Hotel pickup and drop-off, Private tour with a tuk tuk or air conditioned vehicle, Local English Speaking guide, Bottled water on tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
35.0,Old Siem Reap Sunset Food Tour by Tuk-tuk,Tuk Tuk Tours,26.0,5.0,4.0,75.0,"Private transportation, 4 sit-down, safe-to-eat restaurants, Dinner, Unlimited beer and sodas, Hotel Pickup & Drop-off, Tuktuk Transport, Small-group tour (2-12 people)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
37.0,Siem Reap Countryside Quad Biking Tour,Adventure Tours,29.0,5.0,2.0,45.0,"Hotel pickup and drop-off, Guide ATV bike, Helmet, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
38.0,Private Half Day To Killing Field & S21 Genocidal Museum in Phnom Penh,Bus Tours,17.0,5.0,6.0,130.0,"Private English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
39.0,Oudong and Koh Chen Island - Full Day Cruise & Tour with English speaking guide,Full-day Tours,6.0,5.0,7.0,110.0,"Hotel pick up and drop off, Lunch, Unlimited beer and soft drinks, Fresh fruit platter, Return Tuk Tuk trip from Koh Chen to Oudong Mountain, Entrance fee, English speaking guide, Entry/Admission - Phnom Penh","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
40.0,Apsara Theatre Performance include Dinner,Bus Tours,93.8,4.9,2.0,37.5,"Free transfer from & to Your Hotel, All Government Taxes, Apsara dance show admission with dinner, Entry/Admission - Angkor Village Apsara Theatre, Guaranteed to skip the lines","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
42.0,Private Angkor Wat Sunrise Tour,Bus Tours,83.0,5.0,7.0,26.0,"Experienced and licensed English Speaking Tour Guide, Air-conditioned vehicle, Bottled water, Hotel Pick up and Drop Off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
43.0,Bangkok to Angkor Wat Tour 3 Days 2 Nights from Bangkok,Multi-day Tours,8.0,5.0,72.0,490.0,"Hotel pickup and drop-off, Private tour by air-conditioning vehicle, 2 nights accommodation at standard hotel with breakfast, Licensed tour guide, Temples Ticket, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Preah Khan, Entry/Admission - Ta Prohm Temple, Entry/Admission - Angkor Wat","Asia, Thailand, Bangkok, Things to Do in Bangkok, Bangkok Tours, Tours and Tickets"
44.0,Private Full-Day Angkor Temple and Sunset Viewing,Full-day Tours,51.0,4.5,7.0,37.95,"Hotel pickup and drop-off, Sightseeing as specified in the itinerary, Transport by private vehicle, Mineral Water, Sunset Viewing","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
45.0,"Full-Day Tour - City & Countryside, Old Bamboo Train, Secret Bat Cave & Sunset",Full-day Tours,68.0,5.0,9.0,20.0,"Private transportation, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
46.0,Bike to the backroads of Kampot,Half-day Tours,43.0,5.0,4.0,25.0,"Drinking water, Local guide, Bicycle and helmet","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
47.0,Monk Blessing Ceremony in Siem Reap,Bus Tours,1.0,5.0,2.0,29.16,"English-speaking driver, Monk ceremony, Sarong, Transport by private car or tuk tuk, Entry/Admission - Wat Athvear Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
48.0,Privately Guided Full Day TukTuk City Tour of Phnom Penh and Area,Full-day Tours,7.0,5.0,9.0,60.0,Bottled water,"Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
50.0,La Plantation tour (discovering Kampot Pepper) + Lunch,Walking Tours,47.0,4.5,4.0,21.0,"Lunch (starter - main dish - dessert), Guided tour + tasting","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
51.0, Phnom Penh Authentic Food Tour 100% By Local,Tuk Tuk Tours,36.0,5.0,4.0,69.0,"Inclusive of meals, snacks, drinks. Drinks are limited to local beer, water and soft drinks., Unlimited beers and water, Unlimited local beers, Hotel pick up and drop off","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
52.0,Siem Reap Street Food Tour,Tuk Tuk Tours,15.0,5.0,2.0,30.0,"English-Speaking Tour Guide, Transportation Tuk Tuk, Bottles of drinking cold Water, Food tasting","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
53.0,Silk Island Tour by Tuk Tuk,Bike Tours,18.0,4.5,5.0,49.0,"Hotel pickup and drop-off, English speaking guide, Cambodia lunch or dinner, Ferry crossing fee of the Mekong River, Travel by Tuk Tuk, Entry/Admission - Mekong Island - Koh Dach","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
54.0,Full-Day Amazing Phnom Penh City Tours,Bus Tours,1.0,5.0,6.0,87.18,"All entrance fee are mentioned on attracting points, Private Licensing Tour Guide, Hotel Pickup and Drop-off, Hand Cold Tower, Cold Battle of waters, Private Conformable Transportation, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Russian Market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
55.0,Full-Day Phnom Penh Small Group City Tours,Bus Tours,24.6,4.7,7.0,49.0,"Transportation for the whole tour, Licensing English Speaking Tour Guide, Cold bottle of waters during the tour","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
56.0,Angkor Sunrise Jeep Tour - Inclusive Breakfast & Lunch,Full-day Tours,133.0,5.0,7.0,90.0,"Round trip by Army Jeep, Bottled Water, Professional English speaking guide, Breakfast, Lunch, Experienced driver, Light refreshment","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
59.0,Half Day Kompong Pluck Floating Village on Tonle Sap with Sunset,Adventure Tours,7.0,5.0,6.0,18.0,"Air-conditioned vehicle, English speaking guide, Boat ride around the village and sun set, Cool water, Pick up /Drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
60.0,Apsara Dance Performance - Including Buffet Dinner & Hotel Pickup,City Tours,1.0,5.0,2.0,25.0,"Pick-up and drop-off hotel in Siem Reap, Drinking water and cool towel during trip, Round trip transfer by tuk tuk, Dinner - Buffet dinner, Entry/Admission (Amazon Angkor Restaurant)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
61.0, Sunrise Angkor Wat Half Day Join-In Tour (by luxury MiniVan),Full-day Tours,966.0,5.0,8.0,15.0,"Cold towels & Water, Local taxes, Professional English Spoken Tour Guide, Hotel pickup (4:20am to 4:50am), Transport by luxury air-conditioned mini-bus, Hotel Drop off (12:30pm)","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
62.0,Peaceful Angkor Wat Private Day Tour,National Parks,28.0,5.0,10.0,120.0,"English speaking tour guide, Air-conditioned vehicle, Cold drinking water bottles, Home-made refreshing wipes, Hotel pickup and drop-off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
63.0,Floating Village Sunset Boat & Jeep Tour - Inclusive Drinks,City Tours,34.0,5.0,6.0,70.0,"Local Snack, Cool bottled of water & Beverages, Open Air Jeep for round trip transportation, Wooden Boat to see Floating Village and sunset, All Fees and Taxes, English Speaking Guide, Soft drink or Beer, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
64.0,Quad Bike Ride Explore Local Villages,Adventure Tours,4.0,5.0,2.0,40.0,"ATV Quad Bike, Cold pure drinking water and cold towel during activities, Helmet, English driver","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
65.0,Sombai Cocktail Class + 11 liquor Tasting,Cocktail Tastings,10.0,5.0,2.0,19.0,"3 cocktails, Visit of the workshop, Snacks, Liqueur tasting","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
66.0,The Mekong Silk Island Guided Cruise,Day Cruises,1.0,5.0,4.0,25.0,"Private transportation, Entry/Admission - Mekong River","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
67.0,Kompong Phluk Village Tonle Sap Lake Half-Day Tour From Siem Reap,Day Cruises,21.0,4.0,5.0,49.0,"Professional tara lake guide, all boats, Transportation by air-conditioned cars or minivans, Hotel pickup and drop-off, Light fruit lunch, Water, All checkpoint fees, Entry/Admission - Kompong Phluk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
68.0,Kompong Phluk and Tonle Sap Lake Cruising Tour from Siem Reap,Bus Tours,11.0,4.5,6.0,59.0,"English Speaking Guide (License guide), Air-con Vehicle (Van or Bus), NOTE : This is low water season, so for view of the lake not so beautiful like high water season., Boat Trip to Kampong Phluk (Note: this price not include with small boat, small boat is the optional for client if client want to try they pay by themselves), Mineral Water, Pickup and drop off from hotel client stay (in Siem Reap), Departure Time : 8:30am, Please kindly ready and wait at hotel lobby for pick up between : 7:30am - 8:30am, Departure Time : 2:00pm, Please kindly ready and wait at hotel lobby for pick up between : 1:00pm - 2:00pm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
69.0,One Day Private Guide Tours History & Killing Fields Phnom Penh,Bus Tours,3.0,5.0,7.0,128.21,"Private transportation by modern air-conditioned vehicle, Professional Licensed English Speaking guide, Sightseeing as specified in the itinerary including entrance fees, Lunch at Friends Restaurant. This vibrant and colourful training restaurant., 02 bottles of mineral water per person while sightseeing and transfers, VAT and all taxes and service charge, Included admission fee to visit the royal palace $10.00 person, Included admission fee to visit the National Museum $10.00 person, Included admission fee to visit the Choeung Ek Genocidal Center $5.00 person, Included admission fee to visit the Tuol Sleng Genocide Museum $5.00 person, Included admission fee to visit the Wat Phnom Temple $1.00 person, Entry/Admission - Royal Palace, Entry/Admission - National Museum, Entry/Admission - Wat Phnom, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
70.0,A day Trip Sightseeing Phnom Penh - Siem Reap - Private English Speaking Driver,City Tours,20.0,5.0,11.0,105.0,"Gasoline, Toll, Parking fee, Passenger insurance, English speaking driver, Free cold water of bottles during the tours","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
72.0,Private Taxi Transfer From Phnom Penh to Siem Reap with English Speaking Driver,Bus Tours,9.0,5.0,6.0,65.0,"Gasoline, Tolls, Parking., Barthroom and food break, Passenger insurance","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
73.0,Cambodian Pottery Class in Siem Reap,Pottery Classes,107.0,4.5,2.0,33.0,"Hotel pickup and drop-off by tuk tuk, Workshop visit, Local guide and pottery teacher, All art materials, Pottery class, Pottery demonstration, Pottery bowl (handmade by you), A ‘’Cambodian Potter Diploma, Bottle of water, All taxes, fees and handling charges","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
74.0,"Battambang Tour: Bamboo Train, Killing Cave, Monkey forest, Sunset Bat cave",Tuk Tuk Tours,5.0,5.0,5.0,15.0,"Transportation: Tuk tuk, Driver as English speaking tour guide, Bottled water","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
75.0,"2 Day private tour: Small tour, Big tour, sunrise and sunset,floating village.",Car Tours,18.0,5.0,48.0,225.65,"tour guide to all the main temples, transportation (A/C car). cold water and cold towels.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
77.0,Phnom Penh Killing Fields and Prison S21 Join Tour,Full-day Tours,126.0,4.0,6.0,15.0,"Hotel pickup and drop-off (downtown Phnom Penh), Recorded documentary played on-board, English-speaking bus attendant, Separate driver, Free WiFi, 1 x bottle of drinking water","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
79.0,Oudong Mountain And Floating Village Cycle Tour,Adventure Tours,16.0,5.0,7.0,89.0,"Hotel pick up and drop off, English speaking cycle guide, Cannondale Mountain Bike and Helmet, Purified drinking water, and some tropical fruits, 1 lunch at Khmer local restaurant, Ferry crossing fee of the Tonle Sap Lake and supported vehicle, Entry/Admission - Udong Mountain","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
80.0,Cambodia Fire Range Outdoor Experience,Ports of Call Tours,42.0,5.0,7.0,676.93,"Air-conditioned vehicle, Pick Up and Drop down Service at your desirable place or hotel in Phnom Penh, Video service and also plus edited, Cold beers","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
82.0,Best Temples Day Tour in Siem Reap with Sunset,Bus Tours,66.0,5.0,7.0,22.0,"Hotel pickup and drop-off, Lenienced and experienced English speaking tour guide, Transport by air-conditioned minivan, Mineral water & cool towel, Sunset at ruin temple, Local tax","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
83.0,Best of Battambang Day Trip from Siem Reap,Full-day Tours,9.0,5.0,11.0,99.0,"An experienced English-speaking guide through out the trip, Private AC car or minivan from start to end, Bamboo train ride, All entrance fees and tickets are included, Cold bottled water during tours, Hotel pickup and drop off, Entry/Admission - Ek Phnom, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
84.0,Tuk Tuk Tour in Tango,Full-day Tours,11.0,5.0,8.0,25.0,"Private transportation, Soda/Pop, Bottled water, Entry/Admission - La Plantation","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
85.0,Cooking class in Kampot,Cooking Classes,6.0,5.0,4.0,20.0,Food and market tour,"Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
86.0,Tonle Sap Lake and Kampong Phluk Private Half Day tour from Siem Reap,Day Cruises,41.0,5.0,4.0,59.0,"Hotel pickup and drop-off, Private air conditioned vehicle on tour, Private Local Live English Speaking guide, Cold bottled water, Private tour, Entry/Admission - Kampong Phluk Floating Village, Entry/Admission - Kampong Phluk Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
87.0,Floating Village Sunset Boat Vespa Tour,Bike Tours,26.0,5.0,5.0,60.0,"Hotel Pick up & Drop Off, Boat ticket & Tax included, Vespa & Experience Driver., Cold water supplies, Soft drink or Beer, Entry/Admission - Chong Kneas Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
